TIME ms, IN1, IN2
25, 0.012695, 4.494629
24.951, 0.012939, 4.720459
24.902, 0.012573, 4.577637
24.854, 0.012573, 3.997803
24.805, 0.012817, 3.03833
24.756, 0.012573, 1.787109
24.707, 0.012695, 0.366211
24.658, 0.012695, -1.09375
24.609, 0.012695, -2.453613
24.561, 0.012695, -3.582764
24.512, 0.012939, -4.377441
24.463, 0.012695, -4.758301
24.414, 0.012817, -4.694824
24.365, 0.012939, -4.189453
24.316, 0.012817, -3.288574
24.268, 0.012695, -2.081299
24.219, 0.012817, -0.678711
24.17, 0.013184, 0.783691
24.121, 0.012817, 2.171631
24.072, 0.013184, 3.347168
24.023, 0.012939, 4.206543
23.975, 0.013062, 4.663086
23.926, 0.012939, 4.677734
23.877, 0.012939, 4.244385
23.828, 0.012939, 3.408203
23.779, 0.012817, 2.246094
23.73, 0.013062, 1.105957
23.682, 0.012817, -0.350342
23.633, 0.012817, -1.779785
23.584, 0.012939, -3.043213
23.535, 0.012695, -4.018555
23.486, 0.012817, -4.619141
23.438, 0.012939, -4.785156
23.389, 0.012817, -4.500732
23.34, 0.012939, -3.793945
23.291, 0.012939, -2.731934
23.242, 0.013062, -1.413574
23.193, 0.013062, 0.036621
23.145, 0.012939, 1.479492
23.096, 0.012695, 2.780762
23.047, 0.013184, 3.813477
22.998, 0.012695, 4.484863
22.949, 0.012939, 4.726562
22.9, 0.012573, 4.519043
22.852, 0.012817, 3.883057
22.803, 0.012573, 2.875977
22.754, 0.012695, 1.594238
22.705, 0.012817, 0.15625
22.656, 0.012695, -1.298828
22.607, 0.012939, -2.633057
22.559, 0.012573, -3.718262
22.51, 0.012939, -4.364014
22.461, 0.013184, -4.75708
22.412, 0.013062, -4.702148
22.363, 0.012817, -4.206543
22.314, 0.012817, -3.312988
22.266, 0.012817, -2.111816
22.217, 0.012939, -0.710449
22.168, 0.013062, 0.751953
22.119, 0.012573, 2.141113
22.07, 0.013062, 3.321533
22.021, 0.012817, 4.193115
21.973, 0.012939, 4.655762
21.924, 0.013062, 4.681396
21.875, 0.012695, 4.260254
21.826, 0.012695, 3.432617
21.777, 0.012939, 2.276611
21.729, 0.012817, 0.9021
21.68, 0.012695, -0.560303
21.631, 0.012939, -1.972656
21.582, 0.012939, -3.199463
21.533, 0.012695, -4.129639
21.484, 0.012939, -4.669189
21.436, 0.012695, -4.771729
