Model,DPO4054B
Firmware Version,3.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.00088
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.912e-02,0.1
-4.911e-02,0.12
-4.910e-02,0.12
-4.909e-02,0.12
-4.908e-02,0.1
-4.907e-02,0.12
-4.906e-02,0.12
-4.905e-02,0.12
-4.904e-02,0.12
-4.903e-02,0.12
-4.902e-02,0.12
-4.901e-02,0.12
-4.900e-02,0.12
-4.899e-02,0.12
-4.898e-02,0.14
-4.897e-02,0.12
-4.896e-02,0.1
-4.895e-02,0.12
-4.894e-02,0.12
-4.893e-02,0.12
-4.892e-02,0.12
-4.891e-02,0.12
-4.890e-02,0.12
-4.889e-02,0.12
-4.888e-02,0.12
-4.887e-02,0.1
-4.886e-02,0.12
-4.885e-02,0.12
-4.884e-02,0.12
-4.883e-02,0.12
-4.882e-02,0.12
-4.881e-02,0.1
-4.880e-02,0.1
-4.879e-02,0.12
-4.878e-02,0.12
-4.877e-02,0.1
-4.876e-02,0.1
-4.875e-02,0.12
-4.874e-02,0.12
-4.873e-02,0.12
-4.872e-02,0.1
-4.871e-02,0.12
-4.870e-02,0.12
-4.869e-02,0.12
-4.868e-02,0.12
-4.867e-02,0.12
-4.866e-02,0.12
-4.865e-02,0.12
-4.864e-02,0.12
-4.863e-02,0.12
-4.862e-02,0.12
-4.861e-02,0.1
-4.860e-02,0.14
-4.859e-02,0.12
-4.858e-02,0.12
-4.857e-02,0.12
-4.856e-02,0.12
-4.855e-02,0.12
-4.854e-02,0.14
-4.853e-02,0.12
-4.852e-02,0.12
-4.851e-02,0.12
-4.850e-02,0.1
-4.849e-02,0.12
-4.848e-02,0.12
-4.847e-02,0.12
-4.846e-02,0.12
-4.845e-02,0.12
-4.844e-02,0.12
-4.843e-02,0.12
-4.842e-02,0.1
-4.841e-02,0.1
-4.840e-02,0.12
-4.839e-02,0.14
-4.838e-02,0.14
-4.837e-02,0.08
-4.836e-02,0.12
-4.835e-02,0.12
-4.834e-02,0.12
-4.833e-02,0.14
-4.832e-02,0.12
-4.831e-02,0.1
-4.830e-02,0.12
-4.829e-02,0.12
-4.828e-02,0.1
-4.827e-02,0.12
-4.826e-02,0.12
-4.825e-02,0.12
-4.824e-02,0.12
-4.823e-02,0.1
-4.822e-02,0.1
-4.821e-02,0.12
-4.820e-02,0.12
-4.819e-02,0.1
-4.818e-02,0.12
-4.817e-02,0.12
-4.816e-02,0.12
-4.815e-02,0.1
-4.814e-02,0.12
-4.813e-02,0.12
-4.812e-02,0.12
-4.811e-02,0.12
-4.810e-02,0.12
-4.809e-02,0.1
-4.808e-02,0.1
-4.807e-02,0.1
-4.806e-02,0.12
-4.805e-02,0.12
-4.804e-02,0.12
-4.803e-02,0.12
-4.802e-02,0.12
-4.801e-02,0.12
-4.800e-02,0.12
-4.799e-02,0.12
-4.798e-02,0.12
-4.797e-02,0.12
-4.796e-02,0.12
-4.795e-02,0.12
-4.794e-02,0.08
-4.793e-02,0.12
-4.792e-02,0.12
-4.791e-02,0.1
-4.790e-02,0.12
-4.789e-02,0.12
-4.788e-02,0.12
-4.787e-02,0.12
-4.786e-02,0.14
-4.785e-02,0.1
-4.784e-02,0.12
-4.783e-02,0.12
-4.782e-02,0.12
-4.781e-02,0.12
-4.780e-02,0.12
-4.779e-02,0.1
-4.778e-02,0.12
-4.777e-02,0.1
-4.776e-02,0.14
-4.775e-02,0.12
-4.774e-02,0.12
-4.773e-02,0.14
-4.772e-02,0.12
-4.771e-02,0.12
-4.770e-02,0.12
-4.769e-02,0.12
-4.768e-02,0.1
-4.767e-02,0.12
-4.766e-02,0.12
-4.765e-02,0.12
-4.764e-02,0.12
-4.763e-02,0.12
-4.762e-02,0.12
-4.761e-02,0.12
-4.760e-02,0.12
-4.759e-02,0.12
-4.758e-02,0.12
-4.757e-02,0.12
-4.756e-02,0.12
-4.755e-02,0.12
